Applid,Date,ResTime,ColTime,SysDumpTaken,SysDumpSupp,TranDumpTaken,TranDumpSupp
BP16PAAF,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP16PAA2,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP16PAA2,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP16PAA2,01/11/2016,10:00:00,12:00:00,0,2,1,0
BP16PAA2,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP16PAA2,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP16PAA2,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP16PAA2,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP16PAA2,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP16PAA6,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP16PAA6,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP16PAA6,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP16PAA6,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP16PAA6,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP16PAA6,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP16PAA6,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP16PAA6,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP17PAAC,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP17PAAC,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP17PAAC,01/11/2016,10:00:00,12:00:00,1,3,2,0
BP17PAAC,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP17PAAC,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP17PAAC,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP17PAAC,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP17PAAC,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP17PAAG,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP17PAAG,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP17PAAG,01/11/2016,10:00:00,12:00:00,0,2,1,0
BP17PAAG,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP17PAAG,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP17PAAG,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP17PAAG,01/11/2016,18:00:00,20:00:00,0,0,0,0
