Applid,Date,ResTime,ColTime,DB2Conn,TCBLimit,PkConnWithTCB,PkConnReadyq,PoolPriority,PkPoolTasks,PkPoolReadyq,PkCmdThreads,DB2TCBRatio%
BP16PAAF,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP16PAA2,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,3,0,EQUAL,0,0,0,3.0
BP16PAA2,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP16PAA2,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,12,0,EQUAL,0,0,0,12.0
BP16PAA2,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP16PAA2,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,11,0,EQUAL,0,0,0,11.0
BP16PAA2,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP16PAA2,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP16PAA2,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP16PAA6,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP16PAA6,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP16PAA6,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP16PAA6,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,12,0,EQUAL,0,0,0,12.0
BP16PAA6,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,12,0,EQUAL,0,0,0,12.0
BP16PAA6,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP16PAA6,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP16PAA6,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAAC,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,3,0,EQUAL,0,0,0,3.0
BP17PAAC,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,14,0,EQUAL,0,0,0,14.0
BP17PAAC,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP17PAAC,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP17PAAC,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,14,0,EQUAL,0,0,0,14.0
BP17PAAC,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP17PAAC,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP17PAAC,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAAG,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,3,0,EQUAL,0,0,0,3.0
BP17PAAG,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAAG,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAAG,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAAG,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP17PAAG,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAAG,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAAG,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA3,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP17PAA3,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA3,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP17PAA3,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAA3,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP17PAA3,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP17PAA3,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA3,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA7,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP17PAA7,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA7,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP17PAA7,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,11,0,EQUAL,0,0,0,11.0
BP17PAA7,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,11,0,EQUAL,0,0,0,11.0
BP17PAA7,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP17PAA7,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP17PAA7,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAAD,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP18PAAD,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAAD,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,11,0,EQUAL,0,0,0,11.0
BP18PAAD,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP18PAAD,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP18PAAD,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP18PAAD,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,6,0,EQUAL,0,0,0,6.0
BP18PAAD,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP18PAAH,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,3,0,EQUAL,0,0,0,3.0
BP18PAAH,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAAH,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP18PAAH,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP18PAAH,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP18PAAH,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAAH,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP18PAAH,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAA4,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP18PAA4,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAA4,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP18PAA4,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAA4,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,9,0,EQUAL,0,0,0,9.0
BP18PAA4,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,15,0,EQUAL,0,0,0,15.0
BP18PAA4,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,11,0,EQUAL,0,0,0,11.0
BP18PAA4,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,6,0,EQUAL,0,0,0,6.0
BP18PAA8,01/11/2016,06:00:00,08:00:00,BPA0CONN,100,4,0,EQUAL,0,0,0,4.0
BP18PAA8,01/11/2016,08:00:00,10:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP18PAA8,01/11/2016,10:00:00,12:00:00,BPA0CONN,100,13,0,EQUAL,0,0,0,13.0
BP18PAA8,01/11/2016,12:00:00,14:00:00,BPA0CONN,100,12,0,EQUAL,0,0,0,12.0
BP18PAA8,01/11/2016,14:00:00,16:00:00,BPA0CONN,100,10,0,EQUAL,0,0,0,10.0
BP18PAA8,01/11/2016,16:00:00,18:00:00,BPA0CONN,100,8,0,EQUAL,0,0,0,8.0
BP18PAA8,01/11/2016,18:00:00,20:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
BP18PAA8,01/11/2016,20:00:00,22:00:00,BPA0CONN,100,7,0,EQUAL,0,0,0,7.0
