Applid,Date,ResTime,ColTime,TClassName,Trandfs,NaxAct,PrgThrs,Attaches,AcptImm,PrgImm,Queued,PrgQd,QuedTime,PckAct,PckQued,MaxActTimes,PrgThrsTimes
AP15POA3,01/11/2016,06:00:00,08:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,06:00:00,08:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,08:00:00,10:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,08:00:00,10:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,10:00:00,12:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,10:00:00,12:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,12:00:00,14:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,12:00:00,14:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,14:00:00,16:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,14:00:00,16:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,16:00:00,18:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,16:00:00,18:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,18:00:00,20:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,18:00:00,20:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP15POA3,01/11/2016,20:00:00,22:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP15POA3,01/11/2016,20:00:00,22:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,06:00:00,08:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,06:00:00,08:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,08:00:00,10:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,08:00:00,10:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,10:00:00,12:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,10:00:00,12:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,12:00:00,14:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,12:00:00,14:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,14:00:00,16:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,14:00:00,16:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,14:00:00,16:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,14:00:00,16:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,14:00:00,16:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,14:00:00,16:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,16:00:00,18:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,16:00:00,18:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,16:00:00,18:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,16:00:00,18:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,16:00:00,18:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,16:00:00,18:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,18:00:00,20:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,18:00:00,20:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,18:00:00,20:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,18:00:00,20:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,18:00:00,20:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,18:00:00,20:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA2,01/11/2016,20:00:00,22:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA2,01/11/2016,20:00:00,22:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,20:00:00,22:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,20:00:00,22:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,20:00:00,22:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA2,01/11/2016,20:00:00,22:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA4,01/11/2016,06:00:00,08:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,06:00:00,08:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,06:00:00,08:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,06:00:00,08:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,06:00:00,08:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,06:00:00,08:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA4,01/11/2016,08:00:00,10:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,08:00:00,10:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA4,01/11/2016,10:00:00,12:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,10:00:00,12:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA4,01/11/2016,12:00:00,14:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,12:00:00,14:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,TCL0003,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,TCL0004,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,*TOTALS*,3,-1,-1,0,0,0,0,0,00:00:00,-1,-1,0,1
AP16POA4,01/11/2016,14:00:00,16:00:00,TCLBCSN,0,10,1,0,0,0,0,0,00:00:00,0,0,0,1
AP16POA4,01/11/2016,14:00:00,16:00:00,TCL0001,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
AP16POA4,01/11/2016,14:00:00,16:00:00,TCL0002,0,1,0,0,0,0,0,0,00:00:00,0,0,0,0
